#名前,職,index,タイプ,名前,系統,条件,効果,対象,備考,武器名
ハルアキ,F,24,1,オーガキラー,killer,vs_ogre,aup,self,,
,,,c,柊の小枝,killer,vs_ogre,adup,self,,
バイセツ,F,25,1,窮鼠,buff_self,hp_downto,aup,self,,
,,,c,密林哨戒,field,in_forest,adup,self,,
ドドガル,F,26,1,土妖精の肉体,heal,wave_start,heal_self,self,,
,,,c,暗がりの先導者,field,in_cave,adup,self,,
フランツ,F,27,1,窮鼠,buff_self,hp_downto,aup,self,,
,,,c,タウンキーパー,field,in_town,adup,self,,
マレイカ,F,28,1,強気,buff_self,hp_upto,adup,self,,
,,,c,凍結耐性,against_debuff,any,guard_freeze,self,,
アイダ,F,29,1,大商才,resource,battle_end,goldup,resource,,
,,,c,がまぐち,resource,battle_end,goldup,resource,,
ジグムント,F,30,1,疾風,buff_self,any,sup,self,,
,,,c,おすすめの靴,buff_self,any,sup,self,,
リュビア,F,31,1,疾風,buff_self,any,sup,self,,
,,,c,不意打ち,buff_self,any,rup,self,,
マディーナ,F,32,1,盗賊,resource,battle_end,goldup,resource,,
,,,c,がまぐち,resource,battle_end,goldup,resource,,
イヌチヨ,F,33,1,奥義,skillup,any,skill_atkup,self,,
,,,c,マナの共鳴,skillup,any,skill_atkup,self,,
アイアリス,F,34,1,商才,resource,battle_end,goldup,resource,,
,,,c,がまぐち,resource,battle_end,goldup,resource,,
サナ,F,35,1,舞踊の足さばき,buff_self,any,sup,self,,
,,,c,おすすめの靴,buff_self,any,sup,self,,
主人公,F,36,1,鼓舞,heal,wave_start,heal_all,all,,
,,,c,真心,heal,wave_start,heal_all,all,,
オグマ,F,37,1,荒地戦闘,field,in_wasteland,adsup,self,,
,,,,,field,in_battlefield,adsup,self,,
,,,2,鬼の剣術,add_debuff,critical,down,enemy,,
,,,c,剛の剣,add_debuff,attack,down,enemy,,
サコン,F,38,1,荒地戦闘,field,in_wasteland,adsup,self,,
,,,,,field,in_battlefield,adsup,self,,
,,,2,報復の太刀,buff_self,dropout_member,aup,self,,
,,,c,傭兵稼業,field,in_wasteland,adup,self,,
,,,,,field,in_battlefield,adup,self,,
ヨシカゲ,F,39,1,修羅の躍動,buff_self,boss_wave,aup,self,,
,,,,,buff_group,group_volcano,aup,all,,
,,,2,鬼の闘気,buff_others,any,asup,job_f,,
,,,c,戦鬼の闘気,buff_self,any,asup,self,,
ナズナ,F,40,1,復讐,buff_self,dropout_member,aup,self,,
,,,2,オーガキラー,killer,vs_ogre,aup,self,,
,,,c,無常の剣,killer,vs_ogre,aup,self,,
トウカ,F,41,1,オーガキラー,killer,vs_ogre,aup,self,,
,,,2,生存目的,heal,wave_start,heal_all,all,,
,,,c,生きるために,heal,wave_start,heal_all,all,,
ヴォルグ,F,42,1,ドラゴンキラー,killer,vs_dragon,aup,self,,
,,,2,戦闘狂,buff_self,wave_start,aup,self,,
,,,c,龍殺し,killer,vs_dragon,adup,self,,
エルダ,F,43,1,土妖精の肉体,heal,wave_start,heal_self,self,,
,,,2,強撃,add_debuff,attack,down,enemy,,
,,,c,追い打ち,for_debuff,for_down,aup,self,,
アンジェリカ,F,44,1,疾風,buff_self,any,sup,self,,
,,,2,暗殺者の一撃,buff_self,any,rup,self,,
,,,c,暗殺剣,buff_self,any,rup,self,,
ベルナデット,F,45,1,全力の一撃,buff_self,any,rup,self,,
,,,2,恋の力,buff_self,hp_upto,aup,self,,
,,,c,ラブサポート,buff_self,any,rup,self,,
,,,,,buff_self,hp_upto,aup,self,,
ハサン,F,46,1,スロウ耐性,against_debuff,any,guard_slow,self,,
,,,2,後方攻撃支援,buff_all,in_sub,aup,all,,
,,,c,奮起のロックンロール,buff_self,any,aup,self,,
,,,,,against_debuff,any,guard_slow,self,,
アイナ,F,47,1,秘境戦闘,field,in_cave,adsup,self,,
,,,,,field,in_ruins,adsup,self,,
,,,2,夢への修行,resource,battle_end,expup,resource,,
,,,c,土地勘,field,in_cave,adup,self,,
,,,,,field,in_ruins,adup,self,,
アミル,F,48,1,覚醒,buff_self,hp_downto,adup,self,,
,,,2,心の解放,buff_all,in_sub,aup,all,,
,,,,魅惑の舞,buff_all,in_sub,aup,all,,
イオ,F,49,1,市街戦闘,field,in_town,adsup,self,,
,,,,,field,in_castle,adsup,self,,
,,,2,防衛本能,buff_self,hp_downto,dup,self,,
,,,c,都市戦術,field,in_town,adup,self,,
,,,,,field,in_castle,adup,self,,
レイジ,F,50,1,ドラゴンキラー,killer,vs_dragon,aup,self,,
,,,2,ハイテンション,killup,kill,adup,self,,
,,,c,ダークドラゴンキラー,killer,vs_dragon,adup,self,,
キキョウ,F,51,1,プラス思考,in_debuff,in_poison,adup,self,,
,,,,,in_debuff,in_slow,adup,self,,
,,,,,in_debuff,in_blind,adup,self,,
,,,2,電撃のアザ,heal,wave_start,heal_self,self,,
,,,c,電撃流剣術,in_debuff,in_poison,aup,self,,
,,,,,in_debuff,in_slow,aup,self,,
,,,,,in_debuff,in_blind,aup,self,,
フィーンド,F,52,1,わがままボディ,buff_self,any,asup,self,,
,,,2,秘伝の体術,buff_self,any,rup,self,,
,,,,全力殴打,buff_self,any,rup,self,,
ソウジロウ＝セタ,F,53,1,電光石火,buff_self,any,sup,self,,
,,,2,口伝天眼通,buff_self,any,dup,self,,
,,,c,疾風迅雷,buff_self,any,dsup,self,,
イブキ,F,54,1,窮鼠,buff_self,hp_downto,aup,self,,
,,,2,祝福,resource,battle_end,expup,resource,,
,,,c,春眠学習,resource,battle_end,expup,resource,,
ヒロチ,F,55,1,防衛本能,buff_self,hp_downto,dup,self,,
,,,2,イタズラ好き,buff_self,any,sup,self,,
,,,c,目くらまし,add_debuff,attack,blind,enemy,,
ヨシツグ,F,56,1,修羅の躍動,buff_self,boss_wave,aup,self,,
,,,,,buff_group,group_volcano,aup,all,,
,,,2,散り際の刀閃,buff_self,any,rup,self,,
,,,,,add_debuff,critical,freeze,enemy,,
,,,,,buff_self,hp_downto,adup,self,,
,,,c,修羅道の導き,killer,vs_ogre,adup,self,,
,,,,,buff_self,boss_wave,aup,self,,
オリョウ,F,57,1,巫女の秘術書,skillup,any,skill_atkup,self,,
,,,,,add_debuff,critical,down,enemy,,
,,,2,魂纏,killup,kill,adup,self,,
,,,c,伝聞　鬼道剣術,buff_self,any,adup,self,,
カミナヅキ,F,58,1,神無の瞳,for_debuff,for_slow,aup,self,,
,,,,,for_debuff,for_blind,aup,self,,
,,,,,for_debuff,for_curse,aup,self,,
,,,,,for_debuff,for_down,aup,self,,
,,,2,吸精剣,mana,kill,mana_drop,resource,,
,,,,,add_debuff,critical,slow,enemy,,
,,,c,神無の瞳,for_debuff,for_slow,aup,self,,
,,,,,for_debuff,for_blind,aup,self,,
,,,,,for_debuff,for_curse,aup,self,,
テレサ,F,59,1,殺人衝動,buff_self,hp_upto,dsup,self,,
,,,,,buff_self,hp_downto,aup,self,,
,,,2,加速する殺意,killup,kill,aup,self,,
,,,c,殺意剣技,killer,vs_human,aup,self,,
チヨメ,F,60,1,忍びの技,add_debuff,critical,slow,enemy,,
,,,,,buff_self,any,rup,self,,
,,,,,mana,kill,mana_drop,resource,クリティカル時のみ,
,,,2,隠形の術,buff_self,in_move,invisible,self,,
,,,c,忍びの劇薬,add_debuff,critical,slow,enemy,,
ヨシノ,F,61,1,鬼の剣術,add_debuff,critical,down,enemy,,
,,,2,マナの天分,mana,battle_start,mana_charge,resource,2個,
,,,c,桜花散華,add_debuff,critical,down,enemy,,
,,,,,mana,battle_start,mana_charge,resource,,
ソーニャ,F,62,1,炎刀使いの用心棒,buff_self,boss_wave,aup,self,,
,,,2,真実の炎,skillup,any,skill_atkup,self,,
,,,w,紅焔の加護,element,attack,fire,self,,妖刀　紅焔
,,,,,for_debuff,for_freeze,aup,self,,
,,,,,buff_self,with_m,adup,self,,
,,,c,炎の秘剣,skillup,any,skill_atkup,self,,
ボクデン,F,63,1,達人の歩法,buff_self,any,asup,self,,
,,,,,add_debuff,critical,push,enemy,,
,,,,,counter,defend,counterattack,enemy,,
,,,2,鬼の剣術,add_debuff,critical,down,enemy,,
,,,c,剣術道場,buff_self,any,sup,self,,
サプラス,F,64,1,魔神の刃,heal,critical,absorb,self,,
,,,2,デモンズスライサー,buff_self,any,rup,self,,
,,,c,滋養の武器,heal,critical,absorb,self,,
ミーム,F,65,1,守備意識,buff_self,hp_downto,dup,self,,
,,,2,バリケード作成,buff_self,wave_start,dup,self,,
,,,,,heal,wave_start,heal_self,self,,
,,,c,建築士の意地,field,in_town,adup,self,,
,,,,,field,in_castle,adup,self,,
セリーヌ,F,66,1,マナの素養,mana,battle_start,mana_charge,resource,,
,,,2,衛生兵！,heal,wave_start,heal_one,hp_worst,,
,,,c,行け！衛生兵！,heal,wave_start,heal_one,hp_worst,,
コロパティロン,F,67,1,魔神の再生力,heal,any,heal_cycle,self,,
,,,2,魔神の切断欲求,killup,kill,aup,self,,
,,,c,再生力,heal,any,heal_cycle,self,,
ヨルデ,F,68,1,土妖精の肉体,heal,wave_start,heal_self,self,,
,,,2,吸魂刀,mana,kill,mana_drop,resource,,
,,,c,二之太刀,for_debuff,for_down,aup,self,,
キキ,F,69,1,炎の武器,element,attack,fire,self,,
,,,2,荒ぶる炎,buff_self,any,aup,self,,
,,,,,buff_self,hp_downto,adup,self,,
,,,w,果てぬ炎,buff_self,any,aup,self,,ヴァイユマン
,,,,,invincible,dropout_self,invincible,self,,
,,,,,heal,dropout_self,heal_self,self,,
,,,,,buff_self,dropout_self,adsup,self,,
,,,c,ぬるい篝火,skillup,any,skill_atkup,self,,
ロレッタ,F,70,1,商才,resource,battle_end,goldup,resource,,
,,,2,破壊魔人の本性,buff_self,hp_downto,asup,self,,
,,,w,強奪魔人,resource,battle_end,goldup,resource,,ハンマーヘッド
,,,,,skillup,skill,skill_atkup,self,,
,,,,,add_debuff,attack,down,enemy,,
,,,c,破壊魔人の商才,resource,battle_end,goldup,resource,,
,,,,,buff_self,hp_downto,asup,self,,
ニンファ,F,71,1,天運,mana,wave_start,mana_boost,resource,,
,,,2,ハッピートレジャー,resource,battle_start,treasure,resource,,
,,,w,幸運の使者,mana,battle_start,mana_charge,resource,2個,フォーチュネイト
,,,,,mana,kill,mana_drop,resource,,
,,,c,強運のおすそわけ,resource,battle_start,treasure,resource,,
リンセ,F,72,1,リンクス,buff_self,any,sup,self,,
,,,2,再生,heal,any,heal_cycle,self,,
,,,c,山猫の如き,field,in_forest,asup,self,,
フーコ,F,73,1,すごうでのくのいち,skillup,any,skill_atkup,self,,
,,,2,おいろけのじゅつ,buff_self,any,rup,self,,
,,,c,しのびのしごと,skillup,any,skill_atkup,self,,
,,,,,add_debuff,skill,blind,enemy,,
スルスタン,F,74,1,暗殺者の突撃,buff_self,any,asup,self,,
,,,2,闇の刃,heal,attack,absorb,self,,
,,,c,闇の短刀,heal,attack,absorb,self,,
サクヤ,F,75,1,マナの天分,mana,battle_start,mana_charge,resource,2個,
,,,2,師の導き,buff_all,in_sub,aup,all,,
,,,c,師の導き,buff_all,in_sub,aup,all,,
勇者,F,76,1,治療魔法,heal,wave_start,heal_self,self,,
,,,2,勇者の使命,buff_self,boss_wave,asup,self,,
,,,c,勇者の支援,buff_self,boss_wave,asup,self,,
にゃん太,F,77,1,ライトニングステップ,buff_self,any,sup,self,,
,,,2,ピンポイント,buff_self,any,rup,self,,
,,,c,猫人の導き,buff_self,any,srup,self,,
アカツキ,F,78,1,ヴェノムストライク,add_debuff,attack,poison,enemy,,
,,,2,アクセルファング,killup,kill,asup,self,,
,,,c,ヴェノムサポート,add_debuff,attack,poison,enemy,,
カノ,F,79,1,マナの素養,mana,battle_start,mana_charge,resource,,
,,,2,リーダーシップ,buff_others,any,adsup,job_kahm,,
,,,c,冒険者支援,buff_self,any,adsup,self,,
,,,,,,,,,,
セルバンテス,K,1,1,強気,buff_self,hp_upto,adup,self,,
,,,c,虚勢,buff_self,hp_upto,adup,self,,
ベアトリクス,K,2,c,攻めの体勢,buff_self,any,aup,self,防御力低下,
アントン,K,3,c,守りの姿勢,buff_self,any,dup,self,与えるダメージ低下,
ハーマン,K,4,c,目覚めのお守り,against_debuff,any,reduce_down,self,,
バクストン,K,5,c,懐刀,buff_self,any,aup,self,,
ロベルタ,K,6,c,守備協力,buff_self,any,dup,self,,
カイン,K,7,1,毒耐性,against_debuff,any,guard_poison,self,,
,,,c,毒耐性,against_debuff,any,guard_poison,self,,
ナックル,K,8,c,街の警備団,field,in_town,adup,self,,
ギスゴ,K,9,1,砂上戦闘,field,in_desert,adsup,self,,
,,,,,field,in_beach,adsup,self,,
,,,c,砂ネズミ,field,in_desert,adup,self,,
,,,,,field,in_beach,adup,self,,
エリーナ,K,10,1,快速のお守り,against_debuff,any,guard_slow,self,,
,,,c,快速のお守り,against_debuff,any,reduce_slow,self,,
ルアンナ,K,11,c,毒耐性,against_debuff,any,guard_poison,self,,
アルベルト,K,12,1,防衛本能,buff_self,hp_downto,dup,self,,
,,,c,緊急防御,buff_self,hp_downto,dup,self,,
メリッサ,K,13,1,商才,resource,battle_end,goldup,resource,,
,,,c,小銭入れ,resource,battle_end,goldup,resource,,
ラヒーム,K,14,1,砂上戦闘,field,in_desert,adsup,self,,
,,,,,field,in_beach,adsup,self,,
,,,c,砂漠の知恵,field,in_desert,adup,self,,
,,,,,field,in_beach,adup,self,,
ラビィ,K,15,1,神速,buff_self,any,sup,self,,
,,,c,おすすめの靴,buff_self,any,sup,self,,
カディル,K,16,1,リザードキラー,killer,vs_lizard,aup,self,,
,,,c,爬虫類百科,killer,vs_lizard,adup,self,,
マリス,K,17,1,覚醒,buff_self,hp_downto,adup,self,,
,,,c,バリケード,buff_all,in_sub,dup,all,,
ライネル,K,18,1,防衛本能,buff_self,hp_downto,dup,self,,
,,,c,盾術,buff_self,any,guardup,self,,
スレイ,K,19,1,防衛本能,buff_self,hp_downto,dup,self,,
,,,c,護衛戦法,buff_self,any,dup,self,,
オデット,K,20,1,窮鼠,buff_self,hp_downto,aup,self,,
,,,c,剣と盾,buff_self,any,adup,self,,
カイ,K,21,1,窮鼠,buff_self,hp_downto,aup,self,,
,,,c,アタックパートナー,buff_self,any,aup,self,,
トーマス,K,22,1,防衛本能,buff_self,hp_downto,dup,self,,
,,,c,守備反応,buff_self,hp_downto,dup,self,,
フィーンド,K,23,1,遺失文明の機械鎧,buff_self,any,dup,self,,
,,,c,護衛戦法,buff_self,any,dup,self,,
ダナディ,K,24,1,応急処置,heal,wave_start,heal_self,self,,
,,,2,気合の叫び,buff_others,any,asup,job_k,,
,,,c,聖なる叫び,heal,wave_start,heal_self,self,,
ファン＝ファン,K,25,1,炎の武器,element,attack,fire,self,,
,,,2,疾風,buff_self,any,sup,self,,
,,,c,フレイムシールド,buff_self,any,dup,self,,
,,,,,buff_self,any,guard_ice,self,,
ムスタファ,K,26,1,大盗賊,resource,battle_end,goldup,resource,,
,,,2,義賊の粘り,heal,wave_start,heal_self,self,,
,,,c,神出鬼没,resource,battle_end,goldup,resource,,
イルヘルミナ,K,27,1,マナの素養,mana,battle_start,mana_charge,resource,,
,,,2,守護の境地,buff_self,any,guardup,self,,
,,,c,背徳の盾,buff_self,any,guardup,self,,
,,,,,mana,battle_start,mana_charge,resource,,
アルヴェルト,K,28,1,守護者,buff_self,any,guardup,self,,
,,,2,死地を探す騎士,buff_self,any,aup,self,防御力低下,
,,,c,勇猛果敢,buff_self,any,aup,self,防御力低下,
ローエンディア,K,29,1,守護者,buff_self,any,guardup,self,,
,,,2,奥義,skillup,any,skill_atkup,self,,
,,,c,白き騎士道,buff_self,any,dup,self,,
,,,,,skillup,any,skill_atkup,self,,
女騎士,K,30,1,光壁,buff_self,any,guardup,self,,
,,,2,湖畔修道会の癒し手,heal,wave_start,heal_all,all,,
,,,c,女騎士の教え,heal,wave_start,heal_all,all,,
直継,K,31,1,シールドマスタリー,buff_self,any,guardup,self,,
,,,2,アイアンバウンス,buff_self,any,dup,self,,
,,,c,堅牢な盾,buff_self,any,dup,self,,
,,,,,buff_self,any,guardup,self,,
クラスティ,K,32,1,レジリアンス,heal,wave_start,heal_self,self,,
,,,2,スカーレットスラスト,heal,attack,absorb,self,,
,,,c,不倒の狂戦士,heal,attack,absorb,self,,
ゴトリ,K,33,1,強気,buff_self,hp_upto,adup,self,,
,,,2,観察眼,for_debuff,for_blind,aup,self,,
,,,c,闇切り包丁,for_debuff,for_blind,aup,self,,
ザレン,K,34,1,魔神の威圧,buff_self,any,dup,self,,
,,,,,buff_self,hp_downto,dup,self,,
,,,2,抗えない復讐心,heal,attack,absorb,self,,
,,,,,killer,vs_black,aup,self,,
,,,c,黒い執念,killer,vs_black,aup,self,,
スティッチア,K,35,1,美針の剣術,buff_self,any,cup,self,,
,,,,,add_debuff,critical,slow,enemy,,
,,,2,クロススティッチ,buff_jobs,with_fk,adup,job_ka,3名以上,
,,,,,buff_weapons,any,asup,weapon_ar,,
,,,c,市街戦の教え,field,in_town,adup,self,,
,,,,,field,in_castle,adup,self,,
アレス,K,36,1,大正義の天命,mana,wave_start,mana_boost,resource,,
,,,,,mana,kill,mana_drop,resource,スキルの場合のみ,
,,,2,騎士道大原則,buff_self,hp_downto,adup,self,,
,,,,,buff_self,hp_downto,aup,self,WAVE開始時に判定,
,,,c,曲がらぬ正義,buff_self,hp_downto,dup,self,,
,,,,,mana,wave_start,mana_boost,resource,,
シンフォニア,K,37,1,眩い光,heal,wave_start,heal_all,all,,
,,,2,絢爛たる勇姿,buff_self,wave_start,asup,self,,
,,,w,絢爛の光,buff_self,any,dup,self,,フィオレスパード
,,,,,heal,any,heal_cycle,self,,
,,,,,pierce,skill,pierce,enemy,,
,,,c,勇気の光,heal,wave_start,heal_all,all,,
ユリアナ,K,38,1,騎士の結束,buff_others,any,adup,job_k,,
,,,2,王家の風格,buff_self,with_k,adup,self,3名以上,
,,,,,buff_all,in_sub,adup,all,,
,,,c,黒の敵対者,killer,vs_skeleton,aup,self,,
,,,,,killer,vs_goblin,aup,self,,
,,,,,killer,vs_black,aup,self,,
ジャファール,K,39,1,砂上戦闘,field,in_desert,adsup,self,,
,,,,,field,in_beach,adsup,self,,
,,,2,空漠の孤鷹,add_debuff,skill,blind,enemy,,
,,,,,add_debuff,attack,poison,enemy,,
,,,w,砂塵の先導者,buff_self,any,aup,self,,サハルサクル
,,,,,field,in_desert,adup,all,,
,,,,,field,in_beach,adup,all,,
,,,c,砂漠の流儀,field,in_desert,adup,self,,
,,,,,field,in_beach,adup,self,,
バリエナ,K,40,1,マナの天分,mana,battle_start,mana_charge,resource,2個,
,,,2,銀狼の毛皮,against_debuff,any,guard_all,self,,
,,,,,buff_self,any,dup,self,,
,,,w,銀狼の爪,field,in_forest,adup,all,,プラタルヴォ
,,,,,field,in_forest,aup,self,,
,,,,,buff_jobs,wave_start,aup,job_a,一番遠い対象,
,,,c,銀狼の遠吠え,buff_self,any,guard_fire,self,,
,,,,,buff_self,any,guard_ice,self,,
リフレット,K,41,1,ゴーレムキラー,killer,vs_golem,aup,self,,
,,,2,不倒の向日葵,against_debuff,any,guard_down,self,,
,,,,,against_debuff,any,guard_poison,self,,
,,,,,buff_self,any,dup,self,,
,,,,,heal,wave_start,heal_self,self,,
,,,w,岩砕の一撃,killer,vs_golem,aup,self,,サーグリス
,,,,,invincible,dropout_self,invincible,self,,
,,,,,heal,dropout_self,heal_self,self,,
,,,,,buff_self,dropout_self,adup,self,,
,,,c,ゴーレム戦闘指南,killer,vs_golem,adup,self,,
,,,,,against_debuff,any,reduce_down,self,,
,,,,,against_debuff,any,reduce_slow,self,,
フィー・グレア,K,42,1,竜への知識,killer,vs_dragon,adup,self,,
,,,2,竜騎士の魂,skillup,any,skill_atkup,self,,
,,,w,稲妻の片翼,killer,vs_dragon,aup,self,,竜魂槍ソルドラン
,,,,,buff_self,with_m,aup,self,,
,,,,,buff_jobs,wave_start,aup,job_m,一番遠い対象,
,,,c,対竜討伐資料,killer,vs_dragon,adup,self,,
パーシェル,K,43,1,信仰心,buff_self,wave_start,dup,self,,
,,,2,神の恩寵,heal,wave_start,heal_all,all,,
,,,c,神の威光,heal,wave_start,heal_all,all,,
ウェイン,K,44,1,守護者,buff_self,any,guardup,self,,
,,,2,騎士の結束,buff_others,any,adup,job_k,,
,,,w,聖域の誇り,buff_self,any,adup,self,,ラールディン
,,,,,buff_self,guard,aup,self,3回以上,
,,,c,守護者の護衛,buff_self,any,aup,self,,
,,,,,buff_self,any,guardup,self,,
ディード,K,45,1,神速,buff_self,any,sup,self,,
,,,2,自由の槍,add_debuff,attack,down,enemy,,
,,,c,呪縛からの解放,for_debuff,for_down,aup,self,,
ミリエル,K,46,1,白鋼の槍術,for_debuff,for_slow,aup,self,,
,,,2,白鋼の鎧,buff_self,boss_wave,dup,self,,
,,,c,白鋼の光,for_debuff,for_slow,aup,self,,
,,,,,,,,,,
ミシディア,A,1,1,市街戦闘,field,in_town,adsup,self,,
,,,,,field,in_castle,adsup,self,,
,,,c,街の警備団,field,in_town,adup,self,,
オットー,A,2,c,小銭入れ,resource,battle_end,goldup,resource,,
サビオ,A,3,c,観測手,buff_self,attack,aup,self,,
パトリシア,A,4,1,商才,resource,battle_end,goldup,resource,,
,,,c,小銭入れ,resource,battle_end,goldup,resource,,
ワーグマン,A,5,1,荒地戦闘,field,in_wasteland,adsup,self,,
,,,,,field,in_battlefield,adsup,self,,
,,,c,荒野歩行,field,in_wasteland,adup,self,,
ミル,A,6,1,暗闇特効,for_debuff,for_blind,aup,self,,
,,,c,対暗闇戦術,for_debuff,for_blind,aup,self,,
シェダ,A,7,1,土妖精の肉体,heal,wave_start,heal_self,self,,
,,,c,救護,heal,wave_start,heal_self,self,,
コロナ,A,8,1,マナの素養,mana,battle_start,mana_charge,resource,,
,,,c,炎の守り,buff_self,any,guard_fire,self,,
フェイスレス,A,9,1,奥義,skillup,any,skill_atkup,self,,
,,,c,マナの共鳴,skillup,any,skill_atkup,self,,
キリエ,A,10,1,復讐,buff_self,dropout_member,aup,self,,
,,,c,援護射撃,buff_self,attack,aup,self,,
エマ,A,11,1,旅の秘訣,resource,battle_end,ap_recover,resource,,
,,,c,戦闘作法・上級,resource,battle_end,expup,resource,,
ニキ,A,12,1,祝福,resource,battle_end,expup,resource,,
,,,c,戦闘作法・上級,resource,battle_end,expup,resource,,
エンヴィ,A,13,1,大商才,resource,battle_end,goldup,resource,,
,,,c,がまぐち,resource,battle_end,goldup,resource,,
チャム＝チャム,A,14,1,プラス思考,in_debuff,in_poison,adup,self,,
,,,,,in_debuff,in_slow,adup,self,,
,,,,,in_debuff,in_blind,adup,self,,
,,,c,起死回生,in_debuff,in_debuff,aup,self,,
ヤーウッド,A,15,1,万全の態勢,buff_self,hp_full,aup,self,,
,,,2,戦術家の戦い方,buff_self,boss_wave,aup,self,,
,,,c,戦術家の助け,buff_self,boss_wave,adup,self,,
ティフォ,A,16,1,痺れ薬,add_debuff,attack,slow,enemy,,
,,,2,万全の態勢,buff_self,hp_full,aup,self,,
,,,c,千河の毒,add_debuff,attack,slow,enemy,,
リーニャ,A,17,1,マナの素養,mana,battle_start,mana_charge,resource,,
,,,2,慈愛,heal,wave_start,heal_all,all,,
,,,c,癒しの木漏れ日,heal,wave_start,heal_all,all,,
クラリス,A,18,1,キルアップ,killup,kill,aup,self,,
,,,2,衝動,buff_self,dropout_member,aup,self,,
,,,c,復讐心,buff_self,dropout_member,aup,self,,
フィリップ,A,19,1,森林戦闘,field,in_forest,adsup,self,,
,,,2,後方攻撃支援,buff_all,in_sub,aup,all,,
,,,c,森王の導き,field,in_forest,adup,self,,
ウィリアム＝マサチューセッツ,A,20,1,影王狼の革鎧,against_debuff,any,guard_blind,self,,
,,,2,サイレントスナイパー,buff_self,any,rup,self,,
,,,c,ウルフスコープ,buff_self,any,rup,self,,
,,,,,against_debuff,any,guard_blind,self,,
イッシー,A,21,1,荒地戦闘,field,in_wasteland,adsup,self,,
,,,,,field,in_battlefield,adsup,self,,
,,,2,破魔の呪符,skillup,any,skill_atkup,self,,
,,,c,荒地歩行術,field,in_wasteland,adup,self,,
オネット,A,22,1,マシナリーメンテナンス,against_debuff,any,guard_poison,self,,
,,,,,against_debuff,any,guard_blind,self,,
,,,,,against_debuff,any,guard_slow,self,,
,,,2,オートマタシミュレート,buff_jobs,any,adup,job_a,,
,,,,,buff_weapons,any,cup,weapon_ar,,
,,,c,マシナリーリカバリー,against_debuff,any,guard_poison,self,,
,,,,,against_debuff,any,guard_blind,self,,
,,,,,against_debuff,any,guard_slow,self,,
カルネロ,A,23,1,覚醒,buff_self,hp_downto,adup,self,,
,,,2,豹の祝福,combat,attack,combat,self,,
,,,,,buff_self,combat,delayoff,self,,
,,,,,buff_self,any,maxhpup,self,,
,,,c,野の利,combat,attack,combat,self,,
アルミルス,A,24,1,魔神の波動,mana,wave_start,mana_boost,resource,,
,,,2,喪失への怒り,buff_self,dropout_member,aup,self,,
,,,c,執着心,buff_self,dropout_member,aup,self,,
